Close,High,Low,Open,Volume,Target,Trend,Volume_Category,Open_Close_Interaction,High_Low_Interaction,Price_Volume_Interaction,Range_Volume
28.68400001525879,28.713333129882812,28.11400032043457,28.299999237060547,142981500,29.534000396728516,1,High,811.7571785476684,807.24665681427,4101281348.1817245,85693504.09412384
30.1026668548584,30.104000091552734,29.333332061767578,29.364667892456055,151995000,31.270666122436523,1,High,883.9548148701615,883.0506310729979,4575454848.604202,117137687.18719482
31.876667022705078,32.3293342590332,31.579999923706055,32.11933135986328,194392500,34.990665435791016,1,High,1023.8572307502909,1020.9603734337361,6196584994.211197,145664974.7800827
34.03333282470703,34.37799835205078,33.54399871826172,33.840667724609375,204436500,36.47999954223633,1,High,1151.710707681952,1153.1755326575949,6957655446.018219,170499966.13311768
37.654666900634766,38.25733184814453,36.95066833496094,38.04199981689453,215304000,37.201332092285156,0,High,1432.4588313391723,1413.6339805013267,8107200402.374268,281329881.04248047
37.201332092285156,37.62933349609375,35.95199966430664,36.132667541503906,204121500,37.793331146240234,1,High,1344.1833645916195,1352.8497852196451,7593591708.6753845,342379897.74513245
37.793331146240234,38.45399856567383,37.2053337097168,37.89933395385742,176827500,38.732666015625,1,High,1432.3420783400798,1430.6938491088658,6682900263.261795,220798284.81674194
51.62533187866211,52.23400115966797,50.53333282470703,51.25266647338867,175462500,51.15266799926758,0,High,2645.935916355069,2639.5581653676345,9058309794.75975,298403517.7230835
51.15266799926758,52.650001525878906,50.891334533691406,51.858001708984375,180337500,53.599998474121094,1,High,2652.6751445251284,2679.4288408528664,9224744265.317917,317153608.7036133
60.06666564941406,60.87066650390625,58.6966667175293,60.46533203125,214722000,55.58599853515625,0,High,3631.9508825019,3572.9052246536594,12897634581.573486,466805582.1304321
55.58599853515625,57.56666564941406,54.813331604003906,55.93333435058594,227883000,53.32733154296875,0,High,3109.1102412780747,3155.420733578154,12667104104.187012,627438022.2702026
51.91999816894531,54.22066879272461,51.740665435791016,52.16666793823242,211282500,45.266666412353516,0,High,2708.4933038330055,2805.4134837091988,10969787013.130188,523981309.261322
